# char|parts|type|mnemonic
# parts: a+b or a+b+c using component glyph/display/id or kanji char
# starters are auto-added from components ∩ kanji
三|一+二|etymological|One stacked on two: three.
四|冂+八|invented|Enclosure around eight: four.
五|二+十|invented|Two crossed by ten: five.
六|八+一|invented|Eight under one stroke: six.
七|一+十|invented|One cutting across ten: seven.
九|力+十|invented|Power bent past ten: nine.
万|一+力|invented|One powerful sweep: ten thousand.
円|冂+一|invented|Enclosure closed into a circle: yen.
千|人+十|etymological|Person mark on ten: thousand.
午|十+人|invented|Ten and a person mark: noon.
半|八+十|invented|Eight split from ten: half.
分|八+刀|etymological|Eight cut by a knife: divide.
切|七+刀|etymological|Seven under a knife: cut.
前|止+刂|invented|Stop and cut ahead: before.
後|辶+糸|invented|Walk tangled in thread: after.
週|⻌+口+土|invented|Walk around earth and mouth: week.
年|人+十|invented|Person marking ten: year.
今|人+一|invented|Person under a present line: now.
早|日+十|etymological|Sun at ten: early.
明|日+月|etymological|Sun and moon together: bright.
時|日+土|invented|Sun over earth marks: time.
間|門+日|etymological|Sun through the gate: interval.
曜|日+鳥|invented|Sun with a bird: day of week.
朝|十+日+月|invented|Ten suns and moon: morning.
昼|一+日|invented|One over the sun: daytime.
夜|人+夕|invented|Person in the evening: night.
春|三+人+日|etymological|Three people under sun: spring.
夏|自+攵|invented|Self under a strike of heat: summer.
秋|木+火|invented|Tree under fire: autumn.
冬|攵+二|invented|Strike of cold under two: winter.
古|十+口|etymological|Ten mouths of ages: old.
右|又+口|etymological|Again hand by the mouth: right.
左|工+又|etymological|Work hand on the left: left.
名|夕+口|etymological|Evening mouth calling a name.
外|夕+刀|invented|Evening knife beyond: outside.
多|夕+夕|etymological|Evening upon evening: many.
天|一+大|etymological|One over big: heaven.
少|小+一|invented|Small plus a stroke: few.
本|木+一|etymological|Tree with a root mark: origin.
来|木+人|invented|Person coming to the tree: come.
東|木+日|etymological|Sun through a tree: east.
西|一+口|invented|One lid over a mouth: west.
南|十+冂|invented|Ten inside enclosure: south.
北|人+人|invented|People back to back: north.
出|山+山|invented|Mountains stacked: exit.
生|土+一|invented|Earth sprouting one: life.
国|冂+王|invented|Enclosure around a king: country.
図|冂+十|invented|Enclosure with marks: diagram.
地|土+川|invented|Earth by the river: ground.
場|土+日|invented|Earth in the sun: place.
所|門+刀|invented|Gate cut to a spot: place.
町|田+十|invented|Rice field by a street mark: town.
市|冂+十|invented|Enclosure and ten: city market.
区|冂+又|invented|Enclosure divided again: ward.
京|一+口+小|invented|Lid, mouth, small base: capital.
店|广+口|invented|Building with an open mouth: shop.
屋|宀+土|invented|Roof over earth: roofed shop.
室|宀+一+土|invented|Roof reaching the earth: room.
家|宀+犬|invented|Roof over a dog: house.
広|广+厶|etymological|Building opened private: wide.
安|宀+女|etymological|Woman under a roof: peaceful.
字|宀+子|etymological|Child under a roof: character.
学|八+子|invented|Open eight over a child: study.
空|宀+八+工|invented|Roof, open eight, work: sky.
海|氵+毎|phonetic|Water with every: sea.
洋|氵+王|invented|Water as vast as a king: ocean.
注|氵+主|phonetic|Water toward the main: pour.
洗|氵+先|phonetic|Water ahead: wash.
漢|氵+艹+口|invented|Water, grass, mouth of China: China.
花|艹+人|invented|Grass changing like a person: flower.
茶|艹+人+木|invented|Grass person by a tree: tea.
野|田+又|invented|Rice field stretched again: field.
男|田+力|etymological|Rice field and power: man.
見|目+儿|etymological|Eye on legs: see.
耳|一+二|invented|One and two strokes: ear.
足|口+止|etymological|Mouth over stop: foot.
鳥|白+火|invented|White and fire: bird.
魚|刀+田+火|invented|Knife, field, and fire: fish.
牛|十+一|invented|Ten with a horn stroke: cow.
兄|口+儿|etymological|Mouth on legs: older brother.
弟|八+刀|invented|Eight beside a knife: younger brother.
姉|女+市|phonetic|Woman and city sound: older sister.
妹|女+木|invented|Woman and unfinished tree: younger sister.
公|八+厶|etymological|Eight opening the private: public.
主|一+王|etymological|One over the king: main.
父|八+又|invented|Eight and a hand staff: father.
母|女+一|invented|Woman with marks: mother.
毎|人+母|etymological|Person plus mother: every.
友|手+又|invented|Hand and again: friend.
休|亻+木|etymological|Person resting by a tree: rest.
何|亻+口|invented|Person opening the mouth: what.
作|亻+十+刀|invented|Person cutting with tools: make.
仕|亻+土|invented|Person on the earth working: serve.
使|亻+口+十|invented|Person speaking orders: use.
住|亻+主|phonetic|Person by the main: reside.
体|亻+本|etymological|Person plus root: body.
代|亻+十|invented|Person marked for ten: substitute.
借|亻+日|invented|Person taking for a day: borrow.
貸|代+貝|etymological|Replace with shell money: lend.
会|人+二+厶|invented|People under two private: meet.
先|牛+儿|etymological|Cow leading on legs: ahead.
私|木+厶|invented|Tree kept private: I.
者|土+日|invented|Earth and sun mark a person: one who.
員|口+貝|etymological|Mouth and shell: member.
働|亻+動|etymological|Person plus move: work.
医|工+大|invented|Work of the big healer: doctor.
族|方+人|invented|Direction of people: tribe.
顔|立+貝|invented|Stand showing shell-face: face.
頭|口+貝|invented|Mouth over shell: head.
親|立+木+見|invented|Stand to see the tree: parent.
社|口+土|invented|Mouth of the earth shrine: shrine.
校|木+父|invented|Trees where fathers gather: school.
教|子+攵|invented|Child struck to learn: teach.
文|一+十|invented|Crossed lines of writing: writing.
語|言+五+口|etymological|Speech, five, and mouth: language.
話|言+口|invented|Speech from the mouth: talk.
売|十+儿|invented|Ten on legs offering goods: sell.
読|言+売|phonetic|Speech for what is sold: read.
計|言+十|etymological|Speech counted by ten: measure.
試|言+工|invented|Speech of a craft test: test.
説|言+兄|invented|Speech of an older brother: explain.
思|田+心|etymological|Field over the heart: think.
音|立+日|etymological|Stand under the sun: sound.
意|音+心|etymological|Sound in the heart: idea.
